Age,Gender,Marital_Status,Department,Job_Role,Job_Level,Monthly_Income,Hourly_Rate,Years_at_Company,Years_in_Current_Role,Years_Since_Last_Promotion,Work_Life_Balance,Job_Satisfaction,Performance_Rating,Training_Hours_Last_Year,Overtime,Project_Count,Average_Hours_Worked_Per_Week,Absenteeism,Work_Environment_Satisfaction,Relationship_with_Manager,Job_Involvement,Distance_From_Home,Number_of_Companies_Worked,Attrition
,Male,Single,Finance,Manager,5.0,7332.0,81,,12,3,1.0,3.0,2,74,0.0,9.0,48,16,4,1,1,49.0,3,0
48.0,Female,Divorced,,Assistant,4.0,6069.0,55,18.0,7,5,1.0,2.0,2,24,1.0,9.0,57,10,4,1,1,25.0,1,0
58.0,Male,Married,Finance,Executive,,7305.0,63,25.0,2,3,4.0,5.0,3,84,0.0,1.0,42,11,2,3,4,4.0,3,1
38.0,Male,Married,Sales,Executive,,15697.0,63,3.0,3,4,4.0,3.0,4,98,0.0,1.0,58,16,3,3,4,33.0,1,1
42.62549154,Female,Married,Marketing,Executive,1.0,14506.0,41,16.0,8,0,2.0,4.0,3,75,1.0,3.0,45,9,2,1,4,,2,0
,Female,Married,IT,Analyst,4.0,18105.0,95,17.0,10,2,2.0,3.0,3,51,1.0,8.0,42,4,3,3,1,39.0,4,0
30.0,Male,Divorced,Sales,Assistant,4.0,15745.0,53,16.0,14,4,1.0,4.0,3,45,1.0,6.0,41,12,4,2,1,1.0,4,0
43.0,Male,Divorced,IT,Manager,3.0,5601.0,87,13.0,3,7,1.0,4.0,3,76,1.0,7.0,58,9,1,4,3,34.0,4,0
55.0,Female,Single,Finance,Analyst,4.0,13023.0,50,25.0,4,3,2.0,1.0,3,66,1.0,6.0,43,7,3,1,4,10.0,2,1
59.0,Female,Married,Marketing,Assistant,5.0,17216.0,24,,11,5,3.0,1.0,2,75,1.0,1.0,38,7,1,2,3,47.0,1,0
43.0,Female,Single,Finance,Analyst,2.0,19911.0,18,24.0,3,3,2.0,3.0,4,46,0.0,5.0,56,7,4,2,3,7.0,1,0
,Female,Divorced,IT,Analyst,4.0,4411.0,99,12.0,12,4,,2.0,2,33,0.0,7.0,36,13,4,1,1,22.0,3,1
41.0,Male,Single,HR,Assistant,3.0,19773.0,16,29.0,13,6,4.0,4.0,4,19,1.0,8.0,49,7,1,4,1,,3,0
43.0,Female,Married,Marketing,Manager,5.0,6792.0,42,26.0,2,9,4.0,2.0,4,51,0.0,8.0,54,5,4,2,4,41.0,4,0
49.0,,Single,Finance,Executive,5.0,12569.0,40,14.0,1,9,4.0,3.0,2,49,0.0,5.0,31,8,3,4,3,29.0,1,0
57.0,Male,Single,Sales,Analyst,5.0,3234.0,87,10.0,3,7,,,2,67,1.0,1.0,51,2,3,2,3,5.0,3,0
21.0,Female,Single,Finance,Assistant,3.0,19497.0,44,19.0,9,6,4.0,1.0,2,40,0.0,5.0,55,19,1,3,2,30.0,3,0
40.0,Male,Single,IT,,2.0,18317.0,23,23.0,14,3,,4.0,3,42,0.0,1.0,40,18,1,3,2,34.0,1,0
52.0,Female,Married,Finance,,5.0,6138.0,15,22.0,8,3,2.0,1.0,1,48,0.0,4.0,46,7,4,1,4,27.0,1,1
,Female,Divorced,Marketing,Executive,4.0,,70,24.0,9,1,2.0,4.0,4,70,0.0,8.0,32,6,2,3,1,10.0,1,0
41.0,Male,Divorced,Finance,Executive,2.0,,70,,10,8,2.0,1.0,1,46,0.0,6.0,52,12,2,4,4,48.0,4,0
44.0,Male,Married,Finance,Manager,5.0,8684.0,90,29.0,5,5,4.0,3.0,4,56,0.0,2.0,37,10,2,4,1,10.0,1,0
46.0,Female,Divorced,Marketing,Executive,2.0,12252.0,75,5.0,5,2,4.0,3.0,2,66,1.0,3.0,36,14,4,1,2,23.0,1,0
47.0,Male,Single,,Manager,4.0,3066.0,59,16.0,14,2,3.0,3.0,4,45,1.0,1.0,45,18,4,2,1,6.0,3,0
35.29662782,Female,Married,Marketing,,1.0,9546.0,27,,8,0,3.0,3.0,1,40,0.0,6.0,55,2,4,3,4,27.0,2,0
,Female,Divorced,IT,Executive,5.0,16985.0,28,2.0,14,1,1.0,3.0,1,76,0.0,6.0,42,9,2,2,3,14.0,3,0
22.0,Female,Married,Marketing,Assistant,4.0,11187.0,24,6.0,13,4,2.0,4.0,4,28,1.0,3.0,57,12,1,4,2,48.0,2,1
,Male,Married,IT,Analyst,3.0,15169.0,31,28.0,5,8,1.0,4.0,4,40,0.0,1.0,34,4,1,3,4,23.0,3,1
26.0,Female,Divorced,IT,Analyst,5.0,16363.0,31,,4,2,4.0,5.0,3,84,0.0,2.0,55,13,4,2,3,34.0,2,1
,Female,Divorced,Marketing,Manager,1.0,13665.0,45,27.0,9,6,4.0,,3,45,0.0,1.0,56,4,1,4,1,,3,0
28.0,Female,Married,Finance,Manager,4.0,7304.0,60,13.0,1,5,2.0,2.0,1,24,0.0,3.0,31,5,1,4,2,34.0,1,0
,Male,Married,Sales,Manager,4.0,,63,13.0,6,2,1.0,4.0,3,2,0.0,3.182407451,50,11,4,2,2,31.0,1,0
,Female,Divorced,Marketing,Analyst,2.0,19000.0,89,27.0,7,3,4.0,4.0,3,29,1.0,1.0,36,0,3,3,3,22.0,1,0
23.0,Female,Married,Finance,Manager,5.0,18537.0,94,21.0,14,4,4.0,5.0,1,85,,8.0,35,7,4,1,4,5.0,1,1
44.0,Female,Divorced,IT,,1.0,,32,,6,1,4.0,4.0,4,1,0.0,7.0,46,1,4,2,4,9.0,3,0
